********************************************************************************
product = Open Liberty 20.0.0.5 (wlp-1.0.40.cl200520200429-1655)
wlp.install.dir = /home/gui/devs/user/target/liberty/wlp/
java.home = /usr/lib/jvm/java-11-openjdk-amd64
java.version = 11.0.7
java.runtime = OpenJDK Runtime Environment (11.0.7+10-post-Ubuntu-3ubuntu1)
os = Linux (5.4.0-29-generic; amd64) (pt_BR)
process = 2735@gui-Aspire-A315-51
********************************************************************************
[17/05/2020 13:47:02:044 BRT] 00000035 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Um novo contexto de sessão será criado para a chave do aplicativo default_host/health
[17/05/2020 13:47:02:046 BRT] 00000025 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Um novo contexto de sessão será criado para a chave do aplicativo default_host/openapi
[17/05/2020 13:47:02:069 BRT] 0000002e com.ibm.ws.util                                              I SESN0172I: O gerenciador de sessões está usando a implementação SecureRandom padrão Java para geração do ID de sessão.
[17/05/2020 13:47:02:079 BRT] 00000025 com.ibm.ws.util                                              I SESN0172I: O gerenciador de sessões está usando a implementação SecureRandom padrão Java para geração do ID de sessão.
[17/05/2020 13:47:02:081 BRT] 00000033 com.ibm.ws.util                                              I SESN0172I: O gerenciador de sessões está usando a implementação SecureRandom padrão Java para geração do ID de sessão.
[17/05/2020 13:47:02:081 BRT] 00000035 com.ibm.ws.util                                              I SESN0172I: O gerenciador de sessões está usando a implementação SecureRandom padrão Java para geração do ID de sessão.
[17/05/2020 13:47:02:082 BRT] 00000036 com.ibm.ws.util                                              I SESN0172I: O gerenciador de sessões está usando a implementação SecureRandom padrão Java para geração do ID de sessão.
[17/05/2020 13:47:02:083 BRT] 0000002c com.ibm.ws.util                                              I SESN0172I: O gerenciador de sessões está usando a implementação SecureRandom padrão Java para geração do ID de sessão.
[17/05/2020 13:47:02:092 BRT] 0000002c com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Cache Dinâmico (cache de objeto) inicializado com êxito.
[17/05/2020 13:47:02:443 BRT] 00000033 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [com.ibm.ws.microprofile.metrics.public] [/metrics] [PublicMetricsRESTProxyServlet]: Inicialização bem sucedida.
[17/05/2020 13:47:02:463 BRT] 00000035 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [com.ibm.ws.microprofile.health.2.0] [/health] [HealthCheckReadinessServlet]: Inicialização bem sucedida.
[17/05/2020 13:47:02:472 BRT] 00000035 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [com.ibm.ws.microprofile.health.2.0] [/health] [HealthCheckServlet]: Inicialização bem sucedida.
[17/05/2020 13:47:02:475 BRT] 00000035 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [com.ibm.ws.microprofile.health.2.0] [/health] [HealthCheckLivenessServlet]: Inicialização bem sucedida.
[17/05/2020 13:47:02:473 BRT] 00000025 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [com.ibm.ws.microprofile.openapi] [/openapi] [OpenAPIServlet]: Inicialização bem sucedida.
[17/05/2020 13:47:02:617 BRT] 00000023 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Um arquivo de configuração para um plug-in de servidor da web foi automaticamente gerado para este servidor em /home/gui/devs/user/target/liberty/wlp/usr/servers/orion-user-service/logs/state/plugin-cfg.xml.
[17/05/2020 13:47:02:833 BRT] 00000034 com.ibm.ws.jca.cm.ConnectorService                           I J2CA8050I: Um alias de autenticação deveria ser usado em vez de definir um nome de usuário e senha em dataSource[default-0].
[17/05/2020 13:47:03:066 BRT] 00000034 com.ibm.ws.recoverylog.spi.RecoveryDirectorImpl              I CWRLS0010I: Realizando processamento de recuperação para o servidor WebSphere local (orion-user-service).
[17/05/2020 13:47:03:106 BRT] 00000034 com.ibm.ws.recoverylog.spi.RecoveryDirectorImpl              I CWRLS0012I: Todos os serviços persistentes foram direcionados para realizar o processamento de recuperação para este servidor WebSphere (orion-user-service).
[17/05/2020 13:47:03:106 BRT] 0000003b com.ibm.tx.jta.impl.RecoveryManager                          I WTRN0135I: O serviço de transações não está recuperando nenhuma transação.
